"user_id","pro_id"
"4707","24"
"4707","195"
"172277","5"
"172277","39"
"172277","65"
"172277","135"
"4747","6"
"4338","41"
"3857","106"
"3857","92"
"3857","348"
"3857","104"
"3857","40"
"3857","341"
"4822","25"
"4822","249"
"4822","268"
"4822","1"
"4362","41"
"4362","42"
"198449","94"
"206282","40"
"206282","95"
"206282","175"
"206282","180"
"190645","331"
"190645","342"
"4903","2"
"4903","82"
"4903","138"
"4903","140"
"4903","144"
"4903","246"
"4903","253"
"4903","341"
"4903","359"
"4902","31"
"175224","284"
"215346","18"
"215346","40"
"65398","111"
"4917","37"
"4917","73"
"4917","146"
"209413","212"
"216147","12"
"118733","10"
"214490","15"
"4954","6"
"20884","159"
"20884","169"
"20884","186"
"20884","185"
"20884","167"
"20884","165"
"20884","7"
"20884","92"
"20884","90"
"20884","94"
"20884","2"
"3199","38"
"4992","346"
"4992","347"
"4992","350"
"4992","159"
"4992","51"
"5001","540"
"5032","30"
"5032","54"
"205516","9"
"205516","54"
"5045","22"
"5045","34"
"5045","173"
"205516","238"
"5046","223"
"5039","38"
"1765","6"
"1765","5"
"1765","18"
"1765","38"
"1765","360"
"1765","26"
"1765","287"
"1765","186"
"1765","266"
"1765","108"
"1765","8"
"1765","306"
"1765","148"
"1765","32"
"1765","240"
"1765","91"
"1765","286"
"1765","235"
"1765","221"
"1765","130"
"1765","162"
"1765","260"
"1765","49"
"1765","210"
"1765","230"
"1765","352"
"1765","28"
"1765","279"
"1765","334"
"1765","53"
"1765","92"
"1765","207"
"1765","290"
"1765","295"
"1765","36"
"1765","74"
"1765","212"
"1765","13"
"1765","262"
"1765","199"
"1765","63"
"1765","316"
"1765","224"
"1765","34"
"1765","106"
"1765","201"
"1765","139"
"1765","39"
"1765","200"
"1765","60"
"1765","7"
"1765","280"
"1765","237"
"1765","89"
"1765","94"
"1765","270"
"1765","348"
"1765","71"
"1765","17"
"1765","137"
"1765","326"
"1765","37"
"1765","284"
"1765","307"
"1765","253"
"1765","83"
"202609","284"
"5076","131"
"5076","102"
"5087","186"
"5099","18"
"182","70"
"216724","2"
"5132","18"
"66","168"
"177559","1"
"5132","23"
"177559","23"
"215075","29"
"215075","36"
"215075","28"
"5191","360"
"5191","12"
"5191","26"
"5191","199"
"5191","221"
"5191","249"
"5191","321"
"5191","231"
"5191","318"
"5191","233"
"5191","264"
"5191","68"
"5191","302"
"5191","205"
"5191","230"
"5191","285"
"5191","211"
"5191","21"
"5191","153"
"5191","160"
"5191","113"
"4338","2"
"4338","14"
"3433","38"
"3433","6"
"3433","9"
"5265","92"
"4855","9"
"4855","16"
"4855","18"
"5281","343"
"3673","27"
"3673","31"
"3673","33"
"3673","35"
"3673","92"
"3673","18"
"3673","32"
"3673","36"
"3673","37"
"3673","45"
"3673","25"
"3673","52"
"3673","53"
"3673","95"
"3673","179"
"3673","198"
"3673","196"
"3673","213"
"3673","218"
"5308","38"
"5327","68"
"5327","82"
"120666","23"
"5332","12"
"3607","27"
"196417","48"
"5389","12"
"5389","46"
"5390","193"
"5390","46"
"5390","324"
"173356","336"
"200112","67"
"5389","48"
"5389","20"
"204836","285"
"171097","295"
"5442","12"
"158119","7"
"158119","45"
"158119","6"
"158119","12"
"158119","26"
"5580","38"
"5076","300"
"212004","25"
"197679","204"
"5677","242"
"5677","234"
"5677","201"
"7670","35"
"201587","170"
"210692","153"
"5714","22"
"215639","12"
"121959","109"
"215639","261"
"215639","179"
"5724","98"
"5762","140"
"5076","279"
"137167","6"
"5815","72"
"126607","9"
"126607","25"
"126607","36"
"5076","60"
"5822","223"
"5822","38"
"67487","90"
"162419","359"
"144031","16"
"144031","30"
"144031","67"
"144031","87"
"216686","2"
"5947","18"
"5984","309"
"5984","155"
"5984","127"
"5984","140"
"5984","95"
"5984","23"
"5984","330"
"5984","329"
"72791","29"
"72791","173"
"72791","180"
"6046","53"
"6089","5"
"6089","320"
"6091","358"
"6100","67"
"6098","135"
"6098","261"
"6098","129"
"6179","179"
"139001","274"
"139001","20"
"6186","88"
"50367","25"
"189523","86"
"189523","92"
"189523","116"
"189523","146"
"189523","147"
"189523","192"
"189523","266"
"189523","295"
"6201","280"
"2974","296"
"2974","243"
"2974","236"
"2974","126"
